###################################################################################
#
# Mesen Game Database
#
# Automatically generated database based on Nestopia's DB and NesCartDB
#
# Generated on 2022-07-21 using:
#     -NewRisingSun's NES 2.0 header database (2021-12-25)
#     -NesCartDB (dated 2017-08-21)
#     -Nestopia UE's latest DB (dated 2015-10-22) 
# 
# Fields: CRC, System, Board, PCB, Chip, Mapper, PrgRomSize, ChrRomSize, ChrRamSize, WorkRamSize, SaveRamSize, Battery, Mirroring, Controller Type, Bus Conflicts, SubMapper, VsSystemType, PpuModel
#
###################################################################################
00C87779,NesNtsc,,,,176,512,512,0,0,0,0,h,1,,0,,
00CA6F07,NesNtsc,,,,105,256,0,8,0,0,0,h,1,,0,,
00CD6327,NesNtsc,,,,1,128,32,0,0,0,0,h,1,,0,,
00E0959F,NesNtsc,,,,134,512,512,0,0,0,0,h,1,,0,,
00E95D86,NesNtsc,NES-UNROM,NES-UNROM-10,,2,128,0,8,0,0,0,v,1,,2,,
00EBEB79,NesNtsc,,,,1,128,128,0,0,0,0,h,1,,0,,
00F49381,NesNtsc,,,,85,512,0,8,0,8,1,h,1,,2,,
0101D156,NesNtsc,,,,0,32,8,0,0,0,0,h,1,,0,,
0102394D,NesNtsc,,,,562,128,128,0,8,0,0,v,1,,1,,
01024AEF,NesNtsc,,,,0,16,8,0,0,0,0,h,1,,0,,
01131224,NesNtsc,,,,176,512,512,0,0,0,0,h,1,,0,,
011537CA,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
0115EAF0,NesNtsc,,,,3,32,16,0,0,0,0,v,1,,2,,
0118D870,NesNtsc,,,,4,128,256,0,0,0,0,h,1,,0,,
0123BFFE,NesNtsc,NES-UNROM,NES-UNROM-10,,2,128,0,8,0,0,0,v,1,,2,,
012AF4A3,Dendy,,,,58,128,64,0,0,0,0,h,1,,0,,
012E12E3,NesNtsc,,,,1,128,128,0,0,8,1,h,33,,0,,
01357944,VsSystem,,,,99,32,16,0,2,0,0,4,5,,0,0,2
0139897F,NesNtsc,,,,4,256,256,0,0,0,0,h,1,,0,,
0143EEB4,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
01461C7F,NesNtsc,,,,2,64,0,8,0,0,0,h,1,,2,,
0147C995,NesNtsc,,,,45,512,512,0,0,0,0,h,1,,0,,
01488E38,NesNtsc,,,,52,512,512,0,0,0,0,h,1,,0,,
0150E2EF,NesPal,,,,1,256,0,8,0,0,0,h,1,,0,,
01518223,NesNtsc,,,,0,16,8,0,0,0,0,v,1,,0,,
015D4555,NesPal,NES-TKEPROM,NES-TKEPROM-02,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
015FD453,NesNtsc,,,,562,64,64,0,8,0,0,v,1,,1,,
01609F57,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
0163CA53,NesNtsc,BMC-FK23C,,,176,512,512,0,0,0,0,h,1,,1,,
016A5552,NesNtsc,,,,561,256,0,32,8,0,0,v,1,,1,,
016C93D8,Famicom,HVC-SGROM,HVC-SGROM-02,MMC1A,1,256,0,8,0,0,0,h,1,,0,,
016D60C5,Dendy,,,,241,512,0,8,2,0,0,v,1,,0,,
016FADF0,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
0185F619,NesNtsc,,,,0,32,8,0,0,0,0,h,1,,0,,
018A515B,NesNtsc,,,,45,512,512,0,0,0,0,h,1,,0,,
018A8699,NesNtsc,ACCLAIM-MC-ACC,53361-2,MC-ACC,4,128,256,0,0,0,0,h,1,,3,,
018C08E3,NesNtsc,,,,17,128,128,0,8,0,0,v,1,,0,,
01934171,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
019E6C7C,NesNtsc,,,,0,16,8,0,0,0,0,h,1,,0,,
019F531B,NesNtsc,,,,3,32,32,0,0,0,0,v,1,,2,,
01A24301,Dendy,,,,558,1024,0,8,0,8,1,h,1,,0,,
01A2A609,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
01B07343,NesNtsc,BADROM,,,65000,0,,,0,0,0,,,,,,
01B1E2B4,NesNtsc,,,,45,512,512,0,0,0,0,h,1,,0,,
01B3EDD2,NesNtsc,,,,176,256,128,0,0,0,0,h,1,,1,,
01B4CA89,NesNtsc,NES-CNROM,NES-CNROM-06,,3,32,32,0,0,0,0,h,1,,2,,
01B87025,NesNtsc,,,,1,128,128,0,0,0,0,h,8,,0,,
01BB9F32,NesNtsc,,,,111,512,0,32,0,0,0,4,41,,0,,
01C20525,NesNtsc,,,,561,256,0,32,8,0,0,v,1,,1,,
01C2426E,NesNtsc,,,,176,512,512,0,0,0,0,h,1,,0,,
01D19D35,NesNtsc,,,,0,16,8,0,0,0,0,v,1,,0,,
01D2F1F5,NesNtsc,,,,562,128,128,0,8,0,0,v,1,,1,,
01E62AE2,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
01EC1E1F,NesNtsc,,,,1,256,0,8,0,0,0,h,1,,0,,
01F63D1A,NesNtsc,,,,1,256,0,8,8,0,0,h,1,,0,,
01F8D4EF,NesNtsc,,,,4,256,128,0,0,8,1,h,1,,0,,
02074211,NesNtsc,,,,562,128,64,0,8,0,0,v,1,,5,,
020CEC26,NesNtsc,,,,561,32,16,0,0,0,0,v,1,,5,,
0212CA04,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
02196A3E,NesNtsc,,,,30,512,0,32,0,0,1,v,1,,0,,
021AEC3E,NesNtsc,,,,4,256,128,0,0,8,1,h,1,,0,,
021CC811,Dendy,,,,15,1024,0,8,0,8,1,h,1,,0,,
021E07EB,NesNtsc,,,,547,640,128,8,8,8,1,h,1,,0,,
022032B3,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
02207FA2,NesNtsc,,,,4,256,128,0,8,0,0,h,1,,0,,
022589B9,Famicom,HVC-TKROM,HVC-TKROM-03,MMC3C,4,256,128,0,0,8,1,h,1,,0,,
023123E4,NesNtsc,,,,6,256,0,32,8,0,0,v,1,,1,,
0236EA28,NesNtsc,,,,69,128,128,0,0,0,0,h,1,,0,,
023A5A32,Famicom,HVC-NROM-256,3I,,0,32,8,0,0,0,0,v,31,,0,,
023EDD1A,NesNtsc,,,,4,128,0,8,8,0,0,h,3,,0,,
023F36C6,NesNtsc,,,,1,128,128,0,0,8,1,h,1,,0,,
0245B84F,NesNtsc,,,,562,128,32,0,8,0,0,v,1,,5,,
02589598,Famicom,HVC-SGROM,HVC-SGROM-01,MMC1,1,128,0,8,0,0,0,h,29,,0,,
0265BD64,NesNtsc,,,,562,256,0,32,8,0,0,v,1,,1,,
02669C33,Famicom,,,,185,32,8,,0,0,0,h,,,,,
0267ADE5,NesNtsc,,,,562,256,256,0,8,0,0,v,1,,1,,
026C1E1A,NesNtsc,,,,3,32,32,0,0,0,0,h,1,,2,,
026C5FCA,Famicom,BANDAI-74*161/161/32,BA ワラ,,152,128,128,0,0,0,0,h,1,,0,,
026DBF97,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
026E41C5,NesNtsc,NES-TLROM,NES-TLROM-02,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
0271A341,NesNtsc,,,,1,256,0,8,0,0,0,h,1,,0,,
0279B04C,NesNtsc,,,,562,64,32,0,8,0,0,v,1,,1,,
027CE98B,NesNtsc,,,,236,128,64,0,0,0,0,h,1,,0,,
027FD794,Dendy,,,,176,256,256,0,0,32,1,h,1,,2,,
0282D975,NesNtsc,,,,269,4096,0,0,0,0,0,h,1,,0,,
028374F2,Famicom,HVC-TKROM,HVC-TKROM-02,MMC3B,4,128,128,0,0,8,1,h,1,,0,,
02863604,Famicom,HVC-UNROM,HVC-UNROM-03,,2,128,0,8,0,0,0,v,1,,2,,
028D29AA,Dendy,,,,241,512,0,8,0,8,1,v,1,,0,,
028FCEF4,NesNtsc,,,,212,128,64,0,0,0,0,h,1,,0,,
02951227,NesNtsc,,,,3,32,32,0,0,0,0,v,1,,2,,
029594A1,NesNtsc,,,,206,128,64,0,0,0,0,h,1,,0,,
0295A133,NesNtsc,,,,313,512,512,0,8,0,1,h,42,,0,,
029A0A3C,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
02A13CC9,NesNtsc,,,,4,256,256,0,0,8,1,h,1,,0,,
02AA1E43,NesNtsc,,,,1,128,128,0,0,0,0,h,1,,0,,
02B0B405,NesNtsc,,,,2,256,0,8,0,0,0,v,1,,1,,
02B60B4B,NesNtsc,,,,562,128,32,0,0,0,0,v,2,,5,,
02B9E7C2,NesNtsc,NES-SL1ROM,NES-SL1ROM-03,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
02BC030E,NesNtsc,,,,0,32,16,0,0,0,0,v,1,,0,,
02C2220C,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
02C41438,Dendy,,,,176,512,0,8,0,8,1,h,1,,0,,
02CC3973,NesNtsc,NES-CNROM,NES-CN-ROM-256-01,,3,32,32,0,0,0,0,v,1,,2,,
02CDA334,Dendy,,,,519,256,128,0,0,0,0,h,1,,0,,
02CE5DBF,NesNtsc,,,,1,256,0,8,0,0,0,h,1,,0,,
02D41AEA,NesNtsc,,,,2,64,0,8,0,0,0,h,1,,2,,
02D5407E,NesNtsc,,,,562,256,128,0,8,0,0,v,1,,1,,
02D7976B,Famicom,HVC-NROM-256,3A,,0,32,8,0,0,0,0,h,1,,0,,
02E0ADA4,NesPal,NES-TLROM,NES-TLROM-03,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
02E3DB40,NesNtsc,,,,4,256,256,0,0,0,0,h,1,,0,,
02EB5B4A,NesNtsc,,,,0,32,8,0,0,0,0,h,1,,0,,
02ED9012,Dendy,,,,4,256,256,0,0,0,0,h,1,,0,,
02EE3706,NesNtsc,NES-SGROM,NES-SGROM-02,MMC1B2,1,256,0,8,0,0,0,h,1,,0,,
02F051A0,Dendy,,,,249,256,256,0,0,0,0,h,1,,0,,
02F215CB,NesNtsc,,,,30,512,0,32,0,0,0,v,1,,0,,
030B8EDA,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
030D9844,NesNtsc,,,,446,512,0,128,0,0,0,h,1,,0,,
03272E9B,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
03281744,NesNtsc,,,,52,512,512,0,8,0,0,h,3,,0,,
032AE256,NesNtsc,,,,0,16,8,0,0,0,0,v,1,,0,,
03346083,Dendy,,,,176,256,256,0,0,32,1,h,1,,2,,
0354868A,Famicom,BANDAI-CNROM,BA-アスレチックス,,3,32,32,0,0,0,0,v,13,,2,,
035DC2E9,Famicom,HVC-NROM-128,2,,0,16,8,0,0,0,0,h,1,,0,,
037006F7,NesNtsc,,,,512,256,128,8,0,8,1,h,1,,0,,
0373AA21,NesNtsc,,,,1,128,128,0,0,8,1,h,1,,0,,
037CB1B4,NesPal,,,,4,128,128,0,8,0,0,h,1,,0,,
037F3281,NesNtsc,,,,0,32,8,0,0,0,0,h,1,,0,,
039426A8,NesNtsc,,,,1,256,0,8,0,8,1,h,1,,0,,
039B4A9C,Famicom,HVC-SLROM,HVC-SLROM-02,MMC1A,1,128,128,0,0,0,0,h,1,,0,,
03A68BC9,NesNtsc,,,,45,512,1024,0,0,0,0,h,1,,0,,
03B8DEFA,NesPal,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
03BDC96F,NesNtsc,,,,3,32,16,0,0,0,0,h,1,,2,,
03C8796C,NesNtsc,,,,6,256,0,8,0,0,0,v,1,,2,,
03D2686D,NesNtsc,,,,4,256,128,0,0,0,0,h,1,,0,,
03D56CF7,Famicom,,,,1,128,0,8,0,0,0,h,1,,0,,
03D656B0,NesNtsc,,,,0,32,8,0,0,0,0,h,1,,0,,
03D6B4D8,NesNtsc,,,,227,1024,0,8,0,0,0,h,1,,0,,
03E2898F,Famicom,HVC-TKROM,HVC-TKROM-03,MMC3C,4,256,256,0,0,8,1,h,1,,0,,
03E4BC5F,NesNtsc,,,,562,128,128,0,8,0,0,v,1,,1,,
03E78D60,NesNtsc,,,,16,256,128,0,0,0,0,h,1,,4,,
03E9C033,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
03EC46AF,NesNtsc,NES-BTR,NES-BTR,FME-7,69,128,256,0,8,0,0,h,1,,0,,
03F1F4B5,VT03,,,,256,8192,0,0,8,0,0,h,1,,15,,
03F3D63D,Dendy,,,,178,512,0,8,0,0,0,h,1,,0,,
03F899CD,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
03FB57B6,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
03FDEFAD,Famicom,,,,230,640,0,8,0,0,0,v,42,,0,,
040ABC34,NesNtsc,,,,4,128,128,0,0,8,1,h,1,,0,,
040C0CB6,NesNtsc,,,,562,128,128,0,8,0,0,v,1,,1,,
04109355,Famicom,IREM-UNROM,FC-00-02,,2,128,0,8,0,0,0,h,1,,2,,
04142764,NesPal,NES-TLROM,NES-TLROM-03,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
041553C3,NesNtsc,,,,168,64,0,32,0,0,1,v,44,,0,,
04166E96,Dendy,,,,163,2048,0,8,0,8,1,v,1,,0,,
042107A8,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
0422ED44,NesNtsc,,,,59,128,64,0,0,0,0,h,42,,0,,
0428FD64,NesNtsc,,,,561,256,0,32,8,0,0,v,1,,1,,
0430DB08,NesPal,NES-TLROM,NES-TLROM-03,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
043268BB,NesNtsc,,,,48,128,256,0,0,0,0,h,1,,0,,
0437661E,Dendy,,,,58,128,64,0,0,0,0,h,1,,0,,
04379E63,NesNtsc,,,,4,512,0,8,0,0,0,h,1,,0,,
04398A9F,NesNtsc,,,,176,512,512,0,0,0,0,h,1,,0,,
043E2545,NesNtsc,,,,34,512,0,8,0,0,0,v,1,,0,,
0446282F,NesNtsc,,,,561,128,0,8,0,0,0,v,1,,0,,
044E0BAA,Dendy,,,,178,512,0,8,0,8,1,h,1,,0,,
045E8CD8,Famicom,HVC-TLROM,HVC-TLROM-04,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
046CF9D5,NesNtsc,,,,383,512,512,0,0,0,0,h,1,,0,,
04766130,NesNtsc,NES-SKROM,NES-SKROM-06,MMC1B2,1,128,128,0,0,8,1,h,1,,0,,
047CB81C,Dendy,,,,178,512,0,8,8,0,0,h,40,,0,,
049325D9,Famicom,,,,112,128,256,0,8,0,0,h,1,,0,,
0496DD98,Playchoice,,,,4,256,256,0,0,0,0,h,1,,0,,
049DA14E,Dendy,,,,163,2048,0,8,0,8,1,v,1,,0,,
04A22528,NesNtsc,,,,45,1024,1024,0,0,0,0,h,42,,0,,
04A6B46D,NesNtsc,,,,0,32,8,0,0,0,0,v,8,,0,,
04B7CAAF,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
04B7CC0D,NesNtsc,,,,1,128,128,0,0,0,0,h,1,,0,,
04BE2206,Famicom,,,,0,32,8,,0,0,0,v,,,,,
04C2DC72,NesPal,,,,5,256,128,0,0,0,0,h,1,,0,,
04C37212,NesNtsc,,,,1,128,128,0,0,0,0,h,1,,0,,
04C8205E,NesNtsc,,,,6,256,0,32,8,0,0,v,1,,1,,
04C9951A,NesNtsc,,,,6,160,0,32,8,0,0,v,1,,4,,
04CCE62C,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
04D800DA,Famicom,,,,3,32,32,0,0,0,0,v,1,,2,,
04DFE0D4,Dendy,,,,163,2048,0,8,0,8,1,v,1,,0,,
04EF48F1,Playchoice,,,,0,16,8,0,0,0,0,h,1,,0,,
04F3354D,Famicom,,,,3,32,32,0,0,0,0,v,1,,2,,
0504B007,NesNtsc,NES-NROM-128,NES-NROM-128-01,,0,16,8,0,0,0,0,v,1,,0,,
05104517,NesPal,NES-AMROM,NES-AMROM-01,,7,128,0,8,0,0,0,h,2,,2,,
051C4267,NesNtsc,,,,52,512,512,0,0,0,0,h,1,,0,,
051CD5F2,Famicom,HVC-TLROM,HVC-TLROM-04,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
051E60C6,NesNtsc,,,,36,128,128,0,0,0,0,v,8,,0,,
0522AB20,NesNtsc,,,,12,256,128,32,8,0,0,v,1,,1,,
0524BDA1,NesNtsc,,,,295,1024,0,8,8,0,0,h,1,,0,,
052AE3F5,Famicom,,,,2,128,,8,0,0,0,v,,,,,
052FA940,NesNtsc,,,,562,256,256,0,8,0,0,v,1,,1,,
0537322A,NesNtsc,NES-AMROM,NES-AMROM-01,,7,128,0,8,0,0,0,h,1,,2,,
05378607,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
053ACE3B,NesNtsc,,,,0,16,8,0,0,0,0,h,1,,0,,
053C4699,NesNtsc,,,,6,256,0,8,8,0,0,v,1,,2,,
054444A0,Dendy,,,,163,1024,0,8,0,8,1,v,1,,0,,
0546BD12,Famicom,,,,4,128,128,0,0,8,1,h,1,,0,,
054BD3E9,Dendy,,,,74,512,256,2,0,8,1,h,1,,0,,
054CB4EB,NesNtsc,NES-TLROM,NES-TLROM-02,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
054E7851,VT03,,,,256,32,0,0,0,0,0,h,1,,0,,
0550D0B2,NesNtsc,,,,0,32,8,0,0,0,0,h,1,,0,,
055183D8,NesNtsc,,,,3,32,32,0,0,0,0,v,1,,2,,
0554394F,NesNtsc,,,,79,32,32,0,0,0,0,v,1,,0,,
05553597,NesNtsc,,,,265,1024,0,8,0,0,0,h,1,,0,,
05563B35,NesNtsc,,,,4,256,256,0,0,0,0,h,1,,0,,
056F2B8E,Dendy,,,,163,2048,0,8,0,8,1,v,1,,0,,
056F3063,NesNtsc,,,,4,128,128,0,8,0,0,h,1,,0,,
0574100B,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
0584816A,NesNtsc,,,,422,512,512,0,0,0,0,h,1,,0,,
058F23A2,NesNtsc,NES-TSROM,NES-TSROM-07,MMC3B,4,128,128,0,8,0,0,h,1,,0,,
059E0CDF,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B3,1,128,128,0,0,0,0,h,1,,0,,
05A1F101,NesNtsc,,,,176,1024,1024,0,0,0,0,h,1,,1,,
05A25E99,NesNtsc,,,,268,32768,0,256,0,8,1,h,42,,0,,
05A688C8,NesNtsc,NES-UNROM,NES-UNROM-08,,2,128,0,8,0,0,0,h,1,,2,,
05A8434E,NesNtsc,,,,4,128,128,0,0,0,0,h,3,,0,,
05A9D7A5,NesNtsc,,,,1,256,0,8,0,8,1,h,1,,0,,
05AA88AF,NesNtsc,,,,6,256,0,32,8,0,0,v,1,,1,,
05B3310E,NesNtsc,,,,4,256,128,0,0,8,1,h,1,,0,,
05B9B9FB,NesNtsc,,,,45,512,512,0,0,0,0,h,1,,0,,
05C4AF33,NesNtsc,,,,93,128,0,8,0,0,0,v,1,,0,,
05C89787,NesNtsc,,,,30,128,0,32,0,0,1,h,2,,0,,
05CE560C,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3C,4,128,256,0,0,0,0,h,1,,0,,
05DF8C81,NesNtsc,,,,52,512,512,0,0,0,0,h,1,,0,,
05E38761,NesNtsc,,,,6,256,0,32,8,0,0,v,1,,1,,
05E43745,NesNtsc,,,,176,512,512,0,8,0,0,h,42,,0,,
05E8C5F8,NesNtsc,,,,30,512,0,32,0,0,1,v,1,,0,,
05EAFB72,NesNtsc,,,,45,512,512,0,0,0,0,h,1,,0,,
05F04EAC,Famicom,TAITO-X1-017,J9100231A,X1-017,82,128,128,0,0,8,1,h,1,,0,,
05F8AD03,NesNtsc,,,,268,512,0,8,0,0,0,h,1,,0,,
0607E9F3,NesNtsc,,,,4,256,256,0,0,8,1,h,1,,0,,
06086781,NesNtsc,,,,1,256,48,0,0,8,1,h,1,,0,,
060F6E75,NesNtsc,,,,6,32,32,0,0,0,0,v,1,,5,,
06130A0E,NesNtsc,,,,4,128,256,0,0,0,0,h,1,,0,,
06143FB3,NesNtsc,,,,5,1024,1024,0,0,32,1,h,1,,0,,
06144B4A,Famicom,IREM-74*161/161/21/138,LROG017-00,,77,128,32,8,0,0,0,4,1,,0,,
06145246,NesNtsc,,,,23,128,128,0,0,0,0,h,1,,3,,
0624382F,VT03,,,,256,16,72,0,0,0,0,h,1,,1,,
062CC3FB,Dendy,,,,4,256,256,0,0,0,0,h,1,,0,,
062DCB6D,Famicom,,,,211,256,256,0,0,0,0,h,1,,0,,
06384200,NesNtsc,,,,0,16,8,0,0,0,0,h,1,,0,,
063B1151,Famicom,,,,209,128,256,0,0,0,0,h,1,,0,,
063E5653,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
06406EB9,NesNtsc,,,,113,128,64,0,0,0,0,h,1,,0,,
064505AE,NesNtsc,,,,1,128,128,0,0,0,0,h,1,,0,,
064E8640,NesNtsc,,,,45,512,512,0,0,0,0,h,1,,0,,
0652445D,NesNtsc,,,,4,128,64,0,0,0,0,h,1,,0,,
06539EF4,NesNtsc,,,,4,512,128,0,0,8,1,h,1,,0,,
0658B3B4,NesNtsc,,,,1,256,0,8,0,8,1,h,1,,0,,
06689AA4,NesPal,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
066FACF6,NesNtsc,,,,4,256,128,0,0,8,1,h,1,,0,,
067955F1,NesNtsc,,,,6,256,0,32,8,0,0,v,1,,1,,
06886D00,VT03,,,,256,16,40,0,0,0,0,h,1,,1,,
068A987E,NesNtsc,,,,1,256,0,8,0,0,0,h,1,,0,,
06961BE4,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B2,1,256,128,0,0,0,0,h,1,,0,,
069D1215,NesNtsc,,,,215,256,256,0,0,0,0,h,1,,0,,
06A5CEE4,NesNtsc,,,,4,256,128,0,8,0,0,h,1,,0,,
06BB007A,NesNtsc,,,,17,128,256,0,8,0,0,v,1,,0,,
06D0852F,Dendy,,,,268,512,0,8,0,8,1,h,1,,0,,
06D13D9E,NesNtsc,BMC-FK23C,,,176,1024,1024,0,0,0,0,h,1,,1,,
06D72C83,NesNtsc,NES-UNROM,NES-UN-ROM-07,,2,128,0,8,0,0,0,v,1,,2,,
06E473C7,NesNtsc,,,,562,128,32,0,0,0,0,v,1,,5,,
06F07118,NesNtsc,,,,562,128,128,0,8,0,0,v,1,,1,,
06F15215,Famicom,HVC-NROM-256,HVC-NROM-256K-02,,0,32,8,0,0,0,0,h,1,,0,,
06F28C7D,Dendy,,,,178,512,0,8,0,0,0,h,1,,0,,
06F3CA14,NesNtsc,,,,0,32,0,8,0,0,0,v,1,,0,,
06F70455,NesNtsc,,,,4,256,128,0,0,0,0,h,1,,0,,
06F9C714,Famicom,JALECO-JF-25,JF-25,SS88006,18,128,128,0,0,0,0,h,1,,0,,
06FBE365,NesNtsc,,,,1,128,128,0,0,0,0,h,1,,0,,
070DF06F,NesNtsc,,,,0,16,8,0,0,0,0,h,1,,0,,
0719260C,Famicom,HVC-CNROM,CN-04B,,3,32,32,0,0,0,0,v,1,,2,,
0719E982,NesNtsc,,,,6,160,0,32,8,0,0,v,33,,4,,
071CC00B,VsSystem,,,,99,64,32,0,0,2,1,4,4,,0,5,0
071D4C2D,NesPal,NES-TLROM,NES-TLROM-03,MMC3C,4,128,256,0,0,0,0,h,1,,0,,
071FA852,NesNtsc,,,,515,1536,0,8,0,0,0,v,1,,0,,
071FFCC8,Dendy,,,,164,512,0,8,2,0,1,h,1,,0,,
0727F5AA,Dendy,,,,178,512,0,8,8,0,0,h,39,,0,,
073A0EBE,NesPal,NES-SLRROM,NES-SLRROM-01,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
073FCC87,NesNtsc,,,,313,512,512,0,8,0,0,h,1,,0,,
074306F5,NesNtsc,,,,0,16,8,0,0,0,0,v,1,,0,,
074CB327,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
074EC424,Famicom,HVC-SLROM,HVC-SLROM-01,MMC1,1,128,128,0,0,0,0,h,1,,0,,
0751D47D,NesNtsc,,,,4,32,32,0,0,0,0,h,1,,0,,
0754544F,NesNtsc,,,,4,256,256,0,0,0,0,h,1,,0,,
07564AC6,NesNtsc,,,,176,2048,0,8,0,0,0,h,1,,0,,
0769BE5F,NesNtsc,,,,313,512,1024,0,0,0,0,h,1,,2,,
076EC229,NesNtsc,,,,0,32,8,0,0,0,0,h,1,,0,,
